Names	Models	bam	ewe	fij	grn	lin	lus	sag	tso	tum	twi
0-shot Prompting	GPT-4-0125-turbo	41.7	34.3	35.3	41.7	42.2	38.7	36.8	41.7	63.4 ± 2.7	62.2 ± 2.0
0-shot Prompting	BLOOMZ-7.1B	34.3	33.3	52.9	53.9	53.4	46.1	32.4	54.9	56.5 ± 2.9	58.0 ± 3.8
											
Cross-lingual 0-Shot	mBERT	32.5 ± 4.2	42.5 ± 2.0	57.7 ± 2.2	42.0 ± 1.0	49.9 ± 4.3	37.6 ± 1.7	39.6 ± 0.7	40.3 ± 2.3	40.7 ± 2.4	62.2
Cross-lingual 0-Shot	XLMR-base	33.1 ± 4.8	38.4 ± 2.1	35.6 ± 2.6	57.2 ± 2.6	42.1 ± 2.6	59.3 ± 2.4	42.0 ± 1.0	36.7 ± 2.1	35.2 ± 4.3	43.1 ± 2.3
Cross-lingual 0-Shot	XLMR-large	29.6 ± 6.9	27.2 ± 3.6	32.1 ± 8.0	63.6 ± 3.2	39.9 ± 9.3	56.0 ± 3.1	41.6 ± 2.2	38.3 ± 2.2	41.6 ± 3.5	43.1 ± 1.5
											
Word Translation	mBERT	40.2 ± 3.6	41.4 ± 3.8	49.1 ± 4.0	63.9 ± 3.4	52.3 ± 3.2	61.8 ± 1.8	46.7 ± 2.7	39.1 ± 3.2	42.5 ± 4.2	54.9 ± 2.0
\+ Existing Data	mBERT	42.5 ± 4.7	41.4 ± 3.2	47.8 ± 3.8	67.2 ± 1.4	55.9 ± 2.4	63.4 ± 2.2	47.9 ± 2.5	40.0 ± 4.0	43.4 ± 2.0	56.4 ± 2.9
\+ Label Distillation	mBERT	37.5 ± 1.3	33.1 ± 3.5	41.9 ± 1.3	59.0 ± 1.3	37.8 ± 3.5	56.5 ± 2.4	38.5 ± 2.3	42.1 ± 1.2	41.2 ± 1.4	35.0 ± 2.9
Word Translation	XLMR-base	37.5 ± 1.4	36.9 ± 4.9	44.8 ± 2.7	66.5 ± 0.8	51.3 ± 1.6	63.5 ± 2.2	47.5 ± 3.1	39.6 ± 2.5	42.3 ± 2.9	50.6 ± 2.8
\+ Existing Data	XLMR-base	40.0 ± 2.2	36.8 ± 1.9	45.9 ± 3.4	66.3 ± 1.9	48.2 ± 2.8	62.5 ± 1.7	47.7 ± 2.2	41.5 ± 1.9	44.4 ± 2.0	51.8 ± 0.8
